Line;Date;Time;I INA SPECTRO (mA);I INA OSCAR (mA);I INA MOTORS (mA);I INA BATT (mA);I INA DC_BUS (mA);I INA Q7 (mA);I INA 5V (mA);I INA 3V3 (mA)
0;2023/10/11;15:45:42;0;63;0;0;2546;46;17;7
1;2023/10/11;15:45:52;0;62;11268;0;4718;46;22;7
2;2023/10/11;15:46:02;1048575;63;22147;0;6759;47;23;8
3;2023/10/11;15:46:12;0;63;22290;0;6681;50;23;7
4;2023/10/11;15:46:22;1048575;63;21744;0;6768;48;23;7
5;2023/10/11;15:46:32;0;63;22262;0;6678;47;23;7
6;2023/10/11;15:46:42;0;62;21465;0;7026;60;61;7
7;2023/10/11;15:46:52;0;62;21399;0;6567;50;22;7
8;2023/10/11;15:47:02;1048575;62;0;0;2622;46;22;7
9;2023/10/11;15:47:12;0;62;0;0;2535;41;22;6
10;2023/10/11;15:47:22;1048575;52;0;0;2646;48;22;7
11;2023/10/11;15:47:32;0;52;0;0;2542;48;22;7
12;2023/10/11;15:47:42;0;52;0;0;2565;46;22;7
13;2023/10/11;15:47:52;0;62;0;0;2590;46;22;7
14;2023/10/11;15:48:02;1048575;62;0;0;2616;49;22;7
15;2023/10/11;15:48:12;0;63;0;0;2689;48;22;7
16;2023/10/11;15:48:22;0;62;0;0;2586;42;22;6
17;2023/10/11;15:48:32;0;63;0;0;2716;49;22;7
18;2023/10/11;15:48:42;1048575;63;0;0;2699;49;22;7
19;2023/10/11;15:48:52;1048575;62;0;0;2546;47;22;7
20;2023/10/11;15:49:02;1048574;62;0;0;2528;45;22;7
21;2023/10/11;15:49:12;1048575;62;0;0;2562;49;22;7
22;2023/10/11;15:49:22;1048575;62;0;0;2599;48;22;7
23;2023/10/11;15:49:32;1048575;62;0;0;2370;44;22;6
24;2023/10/11;15:49:42;0;62;0;0;2696;45;22;7
25;2023/10/11;15:49:52;1048575;62;0;0;2708;48;22;7
26;2023/10/11;15:50:02;1048575;62;0;0;2691;45;22;7
27;2023/10/11;15:50:12;1048575;62;0;0;2532;45;22;7
28;2023/10/11;15:50:22;1048575;62;0;0;2546;47;22;7
29;2023/10/11;15:50:32;1048575;62;0;0;2563;48;22;7
30;2023/10/11;15:50:42;0;62;0;0;2373;41;22;6
31;2023/10/11;15:50:52;0;62;0;0;2585;45;22;7
